date,description,amount
2025-09-08,PANERA BREAD #546,-9.22
2025-09-08,WHOLE FOODS MARKET,-94.87
2025-09-08,CHEVRON FUEL,-40.49
2025-09-09,GYM MEMBERSHIP,-49.99
2025-09-09,CHIPOTLE MEXICAN #297,-10.12
2025-09-09,CVS PHARMACY,-33.65
2025-09-09,HOME DEPOT HARDWARE,-118.47
2025-09-09,AMAZON MARKETPLACE,-31.07
2025-09-10,DISNEY+ STREAMING,-7.99
2025-09-10,STARBUCKS #889,-4.51
2025-09-10,CHIPOTLE MEXICAN #210,-13.94
2025-09-10,TRADER JOES,-56.49
2025-09-11,STARBUCKS #234,-5.3
2025-09-11,STARBUCKS #999,-6.49
2025-09-12,HULU SUBSCRIPTION,-14.99
2025-09-12,UBER EATS,-21.79
2025-09-13,DUNKIN DONUTS #995,-6.86
2025-09-13,CHIPOTLE MEXICAN #992,-19.74
2025-09-14,AMAZON PRIME MEMBERSHIP,-14.99
2025-09-14,UNKNOWN APP PURCHASE,-2.99
2025-09-14,CHIPOTLE MEXICAN #581,-14.27
2025-09-15,DUNKIN DONUTS #258,-5.05
2025-09-15,CHIPOTLE MEXICAN #171,-11.39
2025-09-15,PARKING METER,-22.65
2025-09-16,STARBUCKS #202,-7.5
2025-09-16,STARBUCKS #409,-6.13
2025-09-16,SHELL GAS STATION,-48.51
2025-09-17,ELECTRIC COMPANY - MONTHLY,-137.76
2025-09-17,GAS UTILITY BILL,-61.22
2025-09-17,STARBUCKS #966,-7.22
2025-09-17,CHIPOTLE MEXICAN #963,-13.4
2025-09-17,SHELL GAS STATION,-50.87
2025-09-18,STARBUCKS #667,-6.5
2025-09-18,CHIPOTLE MEXICAN #218,-14.7
2025-09-18,TRADER JOES,-35.02
2025-09-18,TOLL ROAD,-26.81
2025-09-18,MARSHALLS,-103.74
2025-09-18,ARCADE CENTER,-59.35
2025-09-19,STARBUCKS #807,-4.84
2025-09-19,DUNKIN DONUTS #230,-3.87
2025-09-20,INTERNET SERVICE PROVIDER,-79.99
2025-09-20,STARBUCKS #769,-10.45
2025-09-20,STARBUCKS #308,-9.31
2025-09-20,TRADER JOES,-50.05
2025-09-20,SHELL GAS STATION,-41.44
2025-09-21,STARBUCKS #423,-8.67
2025-09-21,LUXURY ELECTRONICS PURCHASE,-2487.99
2025-09-22,WATER & SEWER UTILITY,-42.61
2025-09-22,APP STORE CHARGE,-4.99
2025-09-22,STARBUCKS #423,-5.4
2025-09-22,STARBUCKS #617,-7.06
2025-09-22,PANERA BREAD #854,-13.7
2025-09-22,PANERA BREAD #171,-10.82
2025-09-22,WHOLE FOODS MARKET,-54.35
2025-09-22,WHOLE FOODS MARKET,-69.46
2025-09-22,TRADER JOES,-80.14
2025-09-22,SHELL GAS STATION,-40.68
2025-09-22,SHELL GAS STATION,-47.39
2025-09-22,CHEVRON FUEL,-44.49
2025-09-22,RESTAURANT CATERING SERVICE,-523.45
2025-09-23,PANERA BREAD #720,-10.57
2025-09-23,WHOLE FOODS MARKET,-86.58
2025-09-23,CVS PHARMACY,-28.31
2025-09-23,INSTACART,-30.32
2025-09-24,STARBUCKS #388,-4.97
2025-09-24,STARBUCKS #537,-6.16
2025-09-24,LOCAL DINER,-20.15
2025-09-25,DUNKIN DONUTS #785,-4.53
2025-09-25,TARGET STORE,-52.32
2025-09-25,CVS PHARMACY,-15.52
2025-09-27,MYSTERY SUBSCRIPTION,-1.99
2025-09-27,CHEVRON FUEL,-55.02
2025-09-28,CAR REPAIR SHOP,-255.39
2025-09-29,STARBUCKS #261,-5.61
2025-09-29,STARBUCKS #954,-6.14
2025-09-29,WHOLE FOODS MARKET,-83.03
2025-09-29,TARGET STORE,-59.54
2025-09-30,DIGITAL SERVICE FEE,-3.49
2025-09-30,STARBUCKS #833,-5.11
2025-09-30,STARBUCKS #109,-7.31
2025-09-30,DUNKIN DONUTS #266,-4.09
2025-09-30,WHOLE FOODS MARKET,-91.74
2025-10-01,DUNKIN DONUTS #466,-3.6
2025-10-01,CHIPOTLE MEXICAN #756,-11.4
2025-10-01,SHELL GAS STATION,-49.72
2025-10-01,GIG INCOME - CONTRACT WORK,383.92
2025-10-02,DUNKIN DONUTS #522,-5.53
2025-10-02,PANERA BREAD #690,-9.58
2025-10-02,TARGET STORE,-61.68
2025-10-03,LANDLORD PAYMENT - RENT,-1500
2025-10-03,PROPERTY MANAGEMENT FEE,-75
2025-10-03,STARBUCKS #677,-5.68
2025-10-03,TARGET STORE,-42.06
2025-10-03,GIG INCOME - CONTRACT WORK,3183.53
2025-10-04,TARGET STORE,-59.54
2025-10-04,CVS PHARMACY,-43.06
2025-10-04,BOWLING ALLEY,-45.21
2025-10-05,DUNKIN DONUTS #677,-7.24
2025-10-05,CHIPOTLE MEXICAN #970,-19.41
2025-10-05,TARGET STORE,-38.82
2025-10-05,DOORDASH ORDER,-66.95
2025-10-06,STARBUCKS #151,-5.89
2025-10-06,TACO BELL,-22.9
2025-10-07,NETFLIX SUBSCRIPTION,-15.99
2025-10-07,SPOTIFY PREMIUM,-9.99
2025-10-07,CHEVRON FUEL,-40.28
2025-10-08,STARBUCKS #129,-5.81
2025-10-08,TRADER JOES,-69.59
2025-10-08,CHEVRON FUEL,-44.55
2025-10-09,GYM MEMBERSHIP,-49.99
2025-10-09,STARBUCKS #565,-5.48
2025-10-09,STARBUCKS #119,-4.75
2025-10-09,STARBUCKS #767,-4.71
2025-10-09,PANERA BREAD #724,-11.32
2025-10-09,WHOLE FOODS MARKET,-75.48
2025-10-10,DISNEY+ STREAMING,-7.99
2025-10-10,STARBUCKS #531,-7.35
2025-10-10,PANERA BREAD #950,-13.26
2025-10-10,CHEVRON FUEL,-42.01
2025-10-11,TRADER JOES,-64.08
2025-10-11,SHELL GAS STATION,-39.61
2025-10-12,HULU SUBSCRIPTION,-14.99
2025-10-12,STARBUCKS #488,-9.5
2025-10-13,PANERA BREAD #386,-10.29
2025-10-13,SHELL GAS STATION,-44.07
2025-10-14,AMAZON PRIME MEMBERSHIP,-14.99
2025-10-14,UNKNOWN APP PURCHASE,-2.99
2025-10-14,STARBUCKS #917,-6.51
2025-10-14,CHIPOTLE MEXICAN #177,-13.58
2025-10-15,STARBUCKS #659,-6.74
2025-10-15,STARBUCKS #578,-5.0
2025-10-15,CHIPOTLE MEXICAN #543,-12.45
2025-10-15,TRADER JOES,-72.3
2025-10-16,CHIPOTLE MEXICAN #280,-10.76
2025-10-16,PANERA BREAD #706,-13.13
2025-10-16,WHOLE FOODS MARKET,-46.29
2025-10-16,CVS PHARMACY,-18.08
2025-10-16,MARSHALLS,-56.04
2025-10-16,PARKING GARAGE,-26.61
2025-10-17,ELECTRIC COMPANY - MONTHLY,-140.52
2025-10-17,GAS UTILITY BILL,-68.19
2025-10-17,STARBUCKS #405,-7.33
2025-10-17,CHIPOTLE MEXICAN #969,-11.71
2025-10-17,WHOLE FOODS MARKET,-98.39
2025-10-17,TRADER JOES,-61.55
2025-10-17,CHEVRON FUEL,-54.49
2025-10-17,CVS PHARMACY,-39.13
2025-10-18,CHIPOTLE MEXICAN #170,-18.63
2025-10-18,PANERA BREAD #295,-16.22
2025-10-18,WHOLE FOODS MARKET,-63.02
2025-10-19,DUNKIN DONUTS #689,-8.15
2025-10-19,CHIPOTLE MEXICAN #348,-19.81
2025-10-19,KROGER SUPERMARKET,-58.3
2025-10-19,DESIGNER CLOTHING STORE,-389.0
2025-10-20,INTERNET SERVICE PROVIDER,-79.99
2025-10-20,PARKING GARAGE,-10.0
2025-10-20,METRO TRANSIT,-24.1
2025-10-20,MARSHALLS,-44.43
2025-10-21,STEAKHOUSE DINNER,-148.5
2025-10-22,WATER & SEWER UTILITY,-36.9
2025-10-22,APP STORE CHARGE,-4.99
2025-10-22,STARBUCKS #538,-4.75
2025-10-22,CHIPOTLE MEXICAN #915,-14.03
2025-10-22,PANERA BREAD #606,-10.68
2025-10-22,SHELL GAS STATION,-38.83
2025-10-23,SHELL GAS STATION,-41.31
2025-10-24,STARBUCKS #955,-7.06
2025-10-24,STARBUCKS #458,-4.66
2025-10-24,DUNKIN DONUTS #304,-5.87
2025-10-24,CHIPOTLE MEXICAN #376,-14.83
2025-10-24,SHELL GAS STATION,-54.02
2025-10-24,TARGET STORE,-31.16
2025-10-25,DUNKIN DONUTS #721,-5.49
2025-10-25,ROSS STORE,-39.12
2025-10-26,STARBUCKS #599,-10.07
2025-10-26,PANERA BREAD #595,-16.37
2025-10-27,MYSTERY SUBSCRIPTION,-1.99
2025-10-27,DUNKIN DONUTS #344,-5.05
2025-10-27,DUNKIN DONUTS #210,-5.91
2025-10-28,STARBUCKS #489,-6.8
2025-10-28,PANERA BREAD #317,-9.91
2025-10-29,PANERA BREAD #382,-12.51
2025-10-30,DIGITAL SERVICE FEE,-3.49
2025-10-30,STARBUCKS #646,-7.44
2025-10-30,PANERA BREAD #561,-10.39
2025-10-30,TARGET STORE,-63.27
2025-10-31,DUNKIN DONUTS #362,-4.66
2025-10-31,DUNKIN DONUTS #896,-5.3
2025-10-31,CHIPOTLE MEXICAN #948,-13.18
2025-11-01,CHIPOTLE MEXICAN #455,-19.48
2025-11-01,CHEVRON FUEL,-50.49
2025-11-02,LANDLORD PAYMENT - RENT,-1500
2025-11-02,PROPERTY MANAGEMENT FEE,-75
2025-11-02,TRADER JOES,-38.42
2025-11-02,SHELL GAS STATION,-41.49
2025-11-02,GIG INCOME - CONTRACT WORK,553.83
2025-11-03,STARBUCKS #370,-5.2
2025-11-03,CHIPOTLE MEXICAN #974,-13.86
2025-11-03,PANERA BREAD #822,-12.72
2025-11-03,PANERA BREAD #371,-12.91
2025-11-03,WHOLE FOODS MARKET,-69.64
2025-11-03,SHELL GAS STATION,-42.17
2025-11-04,STARBUCKS #956,-7.39
2025-11-04,STARBUCKS #521,-4.98
2025-11-04,STARBUCKS #218,-5.26
2025-11-04,DOMINOS PIZZA,-37.25
2025-11-06,NETFLIX SUBSCRIPTION,-15.99
2025-11-06,SPOTIFY PREMIUM,-9.99
2025-11-06,STARBUCKS #750,-6.26
2025-11-06,SHELL GAS STATION,-40.99
2025-11-06,CHEVRON FUEL,-41.58
2025-11-08,GYM MEMBERSHIP,-49.99
2025-11-08,CHEVRON FUEL,-58.26
2025-11-08,TARGET STORE,-88.58
2025-11-08,SPA AND WELLNESS CENTER,-175.0
2025-11-09,DISNEY+ STREAMING,-7.99
2025-11-09,CHIPOTLE MEXICAN #843,-14.02
2025-11-09,EMERGENCY ROOM VISIT,-1850.0
2025-11-10,DUNKIN DONUTS #525,-5.26
2025-11-10,CHIPOTLE MEXICAN #775,-12.93
2025-11-10,METRO TRANSIT,-17.69
2025-11-11,HULU SUBSCRIPTION,-14.99
2025-11-12,STARBUCKS #786,-5.5
2025-11-12,DUNKIN DONUTS #740,-5.39
2025-11-12,UBER EATS,-30.18
2025-11-13,AMAZON PRIME MEMBERSHIP,-14.99
2025-11-13,UNKNOWN APP PURCHASE,-2.99
2025-11-14,CHIPOTLE MEXICAN #619,-14.67
2025-11-14,PANERA BREAD #258,-12.27
2025-11-14,TRADER JOES,-39.92
2025-11-14,SHELL GAS STATION,-39.88
2025-11-14,SHELL GAS STATION,-48.64
2025-11-15,STARBUCKS #512,-7.58
2025-11-15,STARBUCKS #542,-8.81
2025-11-15,STARBUCKS #384,-9.04
2025-11-15,DUNKIN DONUTS #630,-5.09
2025-11-15,DUNKIN DONUTS #373,-5.08
2025-11-15,TARGET STORE,-91.01
2025-11-15,CVS PHARMACY,-23.4
2025-11-15,MOVIE THEATER,-40.46
2025-11-16,ELECTRIC COMPANY - MONTHLY,-152.72
2025-11-16,GAS UTILITY BILL,-73.48
2025-11-16,CHIPOTLE MEXICAN #984,-20.16
2025-11-16,CHIPOTLE MEXICAN #651,-15.04
2025-11-16,CHIPOTLE MEXICAN #881,-16.33
2025-11-16,PANERA BREAD #614,-12.86
2025-11-17,STARBUCKS #372,-6.44
2025-11-17,DUNKIN DONUTS #548,-5.82
2025-11-17,DUNKIN DONUTS #961,-3.73
2025-11-17,CHIPOTLE MEXICAN #713,-11.92
2025-11-17,CHIPOTLE MEXICAN #429,-12.28
2025-11-18,STARBUCKS #227,-5.37
2025-11-18,STARBUCKS #279,-6.79
2025-11-18,CHIPOTLE MEXICAN #894,-11.17
2025-11-18,CVS PHARMACY,-33.08
2025-11-19,INTERNET SERVICE PROVIDER,-79.99
2025-11-19,WHOLE FOODS MARKET,-74.81
2025-11-20,DUNKIN DONUTS #833,-3.88
2025-11-20,TRADER JOES,-81.05
2025-11-20,TRADER JOES,-78.63
2025-11-21,WATER & SEWER UTILITY,-49.35
2025-11-21,APP STORE CHARGE,-4.99
2025-11-21,STARBUCKS #510,-5.36
2025-11-21,WHOLE FOODS MARKET,-85.02
2025-11-21,CVS PHARMACY,-17.21
2025-11-21,BOWLING ALLEY,-42.94
2025-11-22,DUNKIN DONUTS #114,-5.99
2025-11-23,STARBUCKS #126,-8.84
2025-11-23,MOVIE THEATER,-78.37
2025-11-24,STARBUCKS #777,-6.38
2025-11-25,STARBUCKS #217,-5.09
2025-11-25,STARBUCKS #944,-6.29
2025-11-25,STARBUCKS #581,-7.41
2025-11-25,STARBUCKS #565,-6.15
2025-11-25,PANERA BREAD #255,-12.26
2025-11-26,MYSTERY SUBSCRIPTION,-1.99
2025-11-26,STARBUCKS #269,-4.71
2025-11-26,STARBUCKS #990,-4.5
2025-11-26,DUNKIN DONUTS #349,-5.95
2025-11-26,ARCADE CENTER,-15.99
2025-11-27,STARBUCKS #121,-6.26
2025-11-27,TOLL ROAD,-14.75
2025-11-27,PARKING METER,-8.22
2025-11-28,DUNKIN DONUTS #129,-4.71
2025-11-28,CHIPOTLE MEXICAN #344,-14.9
2025-11-28,PANERA BREAD #638,-11.2
2025-11-28,WHOLE FOODS MARKET,-81.6
2025-11-28,CHEVRON FUEL,-52.39
2025-11-28,TARGET STORE,-52.92
2025-11-28,BOWLING ALLEY,-43.27
2025-11-29,DIGITAL SERVICE FEE,-3.49
2025-11-29,STARBUCKS #605,-8.4
2025-11-29,DUNKIN DONUTS #220,-6.52
2025-11-29,PANERA BREAD #779,-15.27
2025-11-29,PANERA BREAD #247,-12.71
2025-11-30,STARBUCKS #626,-8.0
2025-11-30,PANERA BREAD #202,-14.92
2025-11-30,WHOLE FOODS MARKET,-92.01
2025-12-01,STARBUCKS #375,-6.52
2025-12-01,DUNKIN DONUTS #345,-5.02
2025-12-01,TRADER JOES,-72.34
2025-12-01,GIG INCOME - CONTRACT WORK,3233.11
2025-12-02,LANDLORD PAYMENT - RENT,-1500
2025-12-02,PROPERTY MANAGEMENT FEE,-75
2025-12-02,DUNKIN DONUTS #554,-4.43
2025-12-02,PANERA BREAD #229,-10.33
2025-12-03,CHIPOTLE MEXICAN #228,-11.67
2025-12-03,PANERA BREAD #470,-11.24
2025-12-03,TRADER JOES,-48.75
2025-12-03,THAI KITCHEN,-30.9
2025-12-03,GIG INCOME - CONTRACT WORK,3196.91
2025-12-04,STARBUCKS #370,-5.68
2025-12-04,DUNKIN DONUTS #657,-5.21
2025-12-04,SHELL GAS STATION,-48.09
2025-12-04,TARGET STORE,-69.33
2025-12-05,STARBUCKS #474,-6.12
2025-12-05,STARBUCKS #980,-7.4
2025-12-05,CHIPOTLE MEXICAN #102,-14.5
2025-12-05,GIG INCOME - CONTRACT WORK,2150.53
2025-12-06,NETFLIX SUBSCRIPTION,-15.99
2025-12-06,SPOTIFY PREMIUM,-9.99
2025-12-06,STARBUCKS #593,-10.14
2025-12-06,GRUBHUB DELIVERY,-33.29
2025-12-07,STARBUCKS #943,-6.57
2025-12-07,PANERA BREAD #844,-16.91
2025-12-07,AUTO PARTS AND SERVICE,-445.0
2025-12-08,GYM MEMBERSHIP,-49.99
2025-12-08,STARBUCKS #497,-6.11
2025-12-08,CHEVRON FUEL,-59.07
2025-12-09,DISNEY+ STREAMING,-7.99
2025-12-09,CHIPOTLE MEXICAN #233,-14.92
2025-12-10,STARBUCKS #199,-5.98
2025-12-10,PANERA BREAD #131,-12.22
2025-12-10,SHELL GAS STATION,-45.11
2025-12-10,CHEVRON FUEL,-46.25
2025-12-11,HULU SUBSCRIPTION,-14.99
2025-12-11,STARBUCKS #305,-5.75
2025-12-11,STARBUCKS #177,-4.85
2025-12-11,TRADER JOES,-84.73
2025-12-12,SPROUTS MARKET,-64.03
2025-12-13,AMAZON PRIME MEMBERSHIP,-14.99
2025-12-13,UNKNOWN APP PURCHASE,-2.99
2025-12-14,STARBUCKS #138,-6.89
2025-12-14,DUNKIN DONUTS #225,-5.56
2025-12-14,WHOLE FOODS MARKET,-53.1
2025-12-14,SHELL GAS STATION,-50.86
2025-12-14,CHEVRON FUEL,-54.59
2025-12-14,CVS PHARMACY,-42.22
2025-12-14,JEWELRY STORE PURCHASE,-1299.0
2025-12-15,STARBUCKS #764,-6.6
2025-12-15,STARBUCKS #860,-6.51
2025-12-15,DUNKIN DONUTS #471,-4.09
2025-12-16,ELECTRIC COMPANY - MONTHLY,-114.43
2025-12-16,GAS UTILITY BILL,-55.71
2025-12-16,DUNKIN DONUTS #386,-4.52
2025-12-16,PANERA BREAD #615,-9.55
2025-12-17,STARBUCKS #950,-7.24
2025-12-17,STARBUCKS #788,-5.86
2025-12-17,CHIPOTLE MEXICAN #212,-13.99
2025-12-17,SUBWAY SANDWICH,-20.94
2025-12-17,MOVIE THEATER,-22.96
2025-12-19,INTERNET SERVICE PROVIDER,-79.99
2025-12-20,TRADER JOES,-62.42
2025-12-20,TJ MAXX,-51.83
2025-12-20,TJ MAXX,-96.73
2025-12-21,WATER & SEWER UTILITY,-53.2
2025-12-21,APP STORE CHARGE,-4.99
2025-12-21,STARBUCKS #506,-9.13
2025-12-21,STARBUCKS #734,-8.28
2025-12-21,DUNKIN DONUTS #711,-7.15
2025-12-21,CHIPOTLE MEXICAN #115,-14.18
2025-12-21,CHEVRON FUEL,-49.49
2025-12-21,CVS PHARMACY,-25.56
2025-12-22,STARBUCKS #701,-6.12
2025-12-22,WHOLE FOODS MARKET,-78.27
2025-12-22,DOORDASH ORDER,-19.51
2025-12-23,STARBUCKS #490,-5.29
2025-12-23,PANERA BREAD #863,-11.63
2025-12-24,CHIPOTLE MEXICAN #949,-11.03
2025-12-24,CHIPOTLE MEXICAN #321,-11.04
2025-12-24,PANERA BREAD #633,-13.33
2025-12-25,CHIPOTLE MEXICAN #892,-11.16
2025-12-25,PANERA BREAD #431,-10.19
2025-12-25,TARGET STORE,-58.38
2025-12-25,SPROUTS MARKET,-62.32
2025-12-26,MYSTERY SUBSCRIPTION,-1.99
2025-12-26,STARBUCKS #210,-7.32
2025-12-26,TARGET STORE,-30.59
2025-12-26,PUBLIX SUPER,-85.39
2025-12-27,SHELL GAS STATION,-43.6
2025-12-28,STARBUCKS #724,-8.66
2025-12-28,DUNKIN DONUTS #953,-7.19
2025-12-28,DUNKIN DONUTS #162,-7.16
2025-12-28,WHOLE FOODS MARKET,-69.16
2025-12-28,SHELL GAS STATION,-46.03
2025-12-28,SHELL GAS STATION,-43.28
2025-12-28,CVS PHARMACY,-43.06
2025-12-29,DIGITAL SERVICE FEE,-3.49
2025-12-30,STARBUCKS #991,-5.39
2025-12-30,STARBUCKS #474,-6.91
2025-12-30,DUNKIN DONUTS #193,-5.56
2025-12-30,CVS PHARMACY,-30.54
2025-12-31,WHOLE FOODS MARKET,-108.55
2026-01-01,LANDLORD PAYMENT - RENT,-1500
2026-01-01,PROPERTY MANAGEMENT FEE,-75
2026-01-01,STARBUCKS #920,-5.47
2026-01-01,PANERA BREAD #393,-10.84
2026-01-02,STARBUCKS #534,-5.83
2026-01-02,STARBUCKS #713,-5.69
2026-01-02,STARBUCKS #316,-5.11
2026-01-02,DUNKIN DONUTS #863,-5.68
2026-01-02,DUNKIN DONUTS #643,-5.08
2026-01-02,PANERA BREAD #975,-13.32
2026-01-02,TARGET STORE,-75.67
2026-01-02,WALMART STORE,-93.23
2026-01-03,PANERA BREAD #493,-16.76
2026-01-03,CHEVRON FUEL,-53.41
2026-01-03,TARGET STORE,-99.75
2026-01-04,STARBUCKS #790,-8.89
2026-01-04,TRADER JOES,-39.08
2026-01-04,SHELL GAS STATION,-42.0
2026-01-04,CVS PHARMACY,-24.43
2026-01-05,NETFLIX SUBSCRIPTION,-15.99
2026-01-05,SPOTIFY PREMIUM,-9.99
2026-01-05,CHIPOTLE MEXICAN #605,-13.86
2026-01-05,WHOLE FOODS MARKET,-63.58
2026-01-05,CVS PHARMACY,-39.43
2026-01-05,TJ MAXX,-53.49
2026-01-06,STARBUCKS #453,-6.04
2026-01-07,GYM MEMBERSHIP,-49.99
2026-01-07,DUNKIN DONUTS #636,-4.97
2026-01-07,DUNKIN DONUTS #256,-3.93
2026-01-07,TRADER JOES,-77.58
2026-01-07,TARGET STORE,-33.25
2026-01-07,MINI GOLF,-25.53
2026-01-07,THAI KITCHEN,-11.74
2026-01-08,DISNEY+ STREAMING,-7.99
2026-01-08,PUBLIX SUPER,-80.33
2026-01-09,CHIPOTLE MEXICAN #157,-11.37
2026-01-09,CHEVRON FUEL,-59.02
2026-01-10,HULU SUBSCRIPTION,-14.99
2026-01-10,STARBUCKS #864,-6.33
2026-01-10,DUNKIN DONUTS #272,-6.07
2026-01-10,TRADER JOES,-51.48
2026-01-10,CHEVRON FUEL,-55.32
2026-01-10,CVS PHARMACY,-37.29
2026-01-11,DUNKIN DONUTS #760,-8.25
